currency,rate,timestamp
USD,1.0,2026-09-09 02:58:52
AED,3.67,2026-09-09 02:58:52
AFN,64.78,2026-09-09 02:58:52
ALL,79.32,2026-09-09 02:58:52
AMD,363.67,2026-09-09 02:58:52
ANG,1.79,2026-09-09 02:58:52
AOA,929.2,2026-09-09 02:58:52
ARS,1510.1,2026-09-09 02:58:52
AUD,1.39,2026-09-09 02:58:52
AWG,1.79,2026-09-09 02:58:52
AZN,1.7,2026-09-09 02:58:52
BAM,1.68,2026-09-09 02:58:52
BBD,2.0,2026-09-09 02:58:52
BDT,122.86,2026-09-09 02:58:52
BGN,1.68,2026-09-09 02:58:52
BHD,0.376,2026-09-09 02:58:52
BIF,3005.97,2026-09-09 02:58:52
BMD,1.0,2026-09-09 02:58:52
BND,1.26,2026-09-09 02:58:52
BOB,12.43,2026-09-09 02:58:52
BRL,5.1,2026-09-09 02:58:52
BSD,1.0,2026-09-09 02:58:52
BTN,94.83,2026-09-09 02:58:52
BWP,13.78,2026-09-09 02:58:52
BYN,3.08,2026-09-09 02:58:52
BZD,2.0,2026-09-09 02:58:52
CAD,1.38,2026-09-09 02:58:52
CDF,2301.64,2026-09-09 02:58:52
CHF,0.81,2026-09-09 02:58:52
CLF,0.0236,2026-09-09 02:58:52
CLP,934.21,2026-09-09 02:58:52
CNH,6.71,2026-09-09 02:58:52
CNY,6.73,2026-09-09 02:58:52
COP,3127.34,2026-09-09 02:58:52
CRC,453.55,2026-09-09 02:58:52
CUP,24.0,2026-09-09 02:58:52
CVE,94.86,2026-09-09 02:58:52
CZK,20.82,2026-09-09 02:58:52
DJF,177.72,2026-09-09 02:58:52
DKK,6.43,2026-09-09 02:58:52
DOP,59.17,2026-09-09 02:58:52
DZD,133.14,2026-09-09 02:58:52
EGP,51.02,2026-09-09 02:58:52
ERN,15.0,2026-09-09 02:58:52
ETB,161.26,2026-09-09 02:58:52
EUR,0.86,2026-09-09 02:58:52
FJD,2.2,2026-09-09 02:58:52
FKP,0.738,2026-09-09 02:58:52
FOK,6.43,2026-09-09 02:58:52
GBP,0.738,2026-09-09 02:58:52
GEL,2.61,2026-09-09 02:58:52
GGP,0.738,2026-09-09 02:58:52
GHS,11.41,2026-09-09 02:58:52
GIP,0.738,2026-09-09 02:58:52
GMD,74.55,2026-09-09 02:58:52
GNF,8783.61,2026-09-09 02:58:52
GTQ,7.64,2026-09-09 02:58:52
GYD,209.18,2026-09-09 02:58:52
HKD,7.84,2026-09-09 02:58:52
HNL,26.83,2026-09-09 02:58:52
